"Report Date","Age","Cases","Rate per 100k"
2020-06-17,"85+ years",4,10.59
2020-06-18,"0-1 years",10,19.94
2020-06-18,"1-14 years",43,5.9
2020-06-18,"15-24 years",144,28.24
2020-06-18,"25-44 years",244,27.13
2020-06-18,"45-64 years",117,18.8
2020-06-18,"65-84 years",40,12.79
2020-06-18,"85+ years",5,13.24
2020-06-19,"0-1 years",2,3.99
2020-06-19,"1-14 years",44,6.04
2020-06-19,"15-24 years",160,31.38
2020-06-19,"25-44 years",244,27.13
2020-06-19,"45-64 years",159,25.55
2020-06-19,"65-84 years",37,11.83
2020-06-19,"85+ years",2,5.29
2020-06-20,"0-1 years",1,1.99
2020-06-20,"1-14 years",19,2.61
2020-06-20,"15-24 years",98,19.22
2020-06-20,"25-44 years",157,17.45
2020-06-20,"45-64 years",106,17.03
2020-06-20,"65-84 years",32,10.23
2020-06-21,"0-1 years",2,3.99
2020-06-21,"1-14 years",49,6.72
2020-06-21,"15-24 years",98,19.22
2020-06-21,"25-44 years",161,17.9
2020-06-21,"45-64 years",106,17.03
2020-06-21,"65-84 years",33,10.55
2020-06-21,"85+ years",4,10.59
2020-06-22,"0-1 years",2,3.99
2020-06-22,"1-14 years",39,5.35
2020-06-22,"15-24 years",80,15.69
2020-06-22,"25-44 years",141,15.67
2020-06-22,"45-64 years",87,13.98
2020-06-22,"65-84 years",18,5.76
2020-06-23,"0-1 years",2,3.99
2020-06-23,"1-14 years",27,3.71
2020-06-23,"15-24 years",134,26.28
2020-06-23,"25-44 years",172,19.12
2020-06-23,"45-64 years",124,19.93
2020-06-23,"65-84 years",27,8.63
2020-06-23,"85+ years",4,10.59
2020-06-24,"0-1 years",1,1.99
2020-06-24,"1-14 years",43,5.9
2020-06-24,"15-24 years",115,22.55
2020-06-24,"25-44 years",252,28.01
2020-06-24,"45-64 years",146,23.46
2020-06-24,"65-84 years",43,13.75
2020-06-24,"85+ years",3,7.94
2020-06-25,"0-1 years",3,5.98
2020-06-25,"1-14 years",41,5.63
2020-06-25,"15-24 years",149,29.22
2020-06-25,"25-44 years",270,30.02
2020-06-25,"45-64 years",157,25.23
2020-06-25,"65-84 years",32,10.23
2020-06-26,"0-1 years",2,3.99
2020-06-26,"1-14 years",46,6.31
2020-06-26,"15-24 years",132,25.89
2020-06-26,"25-44 years",237,26.35
2020-06-26,"45-64 years",126,20.25
2020-06-26,"65-84 years",24,7.68
2020-06-27,"0-1 years",1,1.99
2020-06-27,"1-14 years",37,5.08
2020-06-27,"15-24 years",91,17.85
2020-06-27,"25-44 years",228,25.35
2020-06-27,"45-64 years",107,17.19
2020-06-27,"65-84 years",31,9.91
2020-06-27,"85+ years",2,5.29
2020-06-28,"0-1 years",5,9.97
2020-06-28,"1-14 years",44,6.04
2020-06-28,"15-24 years",127,24.91
2020-06-28,"25-44 years",237,26.35
2020-06-28,"45-64 years",154,24.75
2020-06-28,"65-84 years",26,8.31
2020-06-28,"85+ years",5,13.24
2020-06-29,"0-1 years",3,5.98
2020-06-29,"1-14 years",47,6.45
2020-06-29,"15-24 years",108,21.18
2020-06-29,"25-44 years",198,22.01
2020-06-29,"45-64 years",133,21.37
2020-06-29,"65-84 years",35,11.19
2020-06-29,"85+ years",11,29.12
2020-06-30,"0-1 years",2,3.99
2020-06-30,"1-14 years",39,5.35
2020-06-30,"15-24 years",116,22.75
2020-06-30,"25-44 years",208,23.12
2020-06-30,"45-64 years",117,18.8
2020-06-30,"65-84 years",30,9.59
2020-06-30,"85+ years",1,2.65
2020-07-01,"0-1 years",2,3.99
2020-07-01,"1-14 years",39,5.35
2020-07-01,"15-24 years",140,27.46
2020-07-01,"25-44 years",243,27.01
2020-07-01,"45-64 years",107,17.19
2020-07-01,"65-84 years",32,10.23
2020-07-01,"85+ years",4,10.59
2020-07-02,"0-1 years",3,5.98
2020-07-02,"1-14 years",38,5.21
2020-07-02,"15-24 years",142,27.85
2020-07-02,"25-44 years",256,28.46
2020-07-02,"45-64 years",140,22.5
2020-07-02,"65-84 years",37,11.83
2020-07-02,"85+ years",6,15.88
2020-07-03,"0-1 years",4,7.97
2020-07-03,"1-14 years",47,6.45
2020-07-03,"15-24 years",172,33.73
2020-07-03,"25-44 years",255,28.35
2020-07-03,"45-64 years",159,25.55
2020-07-03,"65-84 years",37,11.83
2020-07-03,"85+ years",4,10.59
2020-07-04,"0-1 years",2,3.99
2020-07-04,"1-14 years",21,2.88
2020-07-04,"15-24 years",88,17.26
2020-07-04,"25-44 years",173,19.23
2020-07-04,"45-64 years",96,15.43
2020-07-04,"65-84 years",29,9.27
2020-07-04,"85+ years",2,5.29
2020-07-05,"0-1 years",2,3.99
2020-07-05,"1-14 years",51,7
2020-07-05,"15-24 years",142,27.85
2020-07-05,"25-44 years",188,20.9
